PRES	MOLEFRAC METHA-01	TOTAL TEMP	TOTAL KVL METHA-01	TOTAL KVL ETHAN-01	LIQUID1 GAMMA METHA-01	LIQUID1 GAMMA ETHAN-01	LIQUID2 GAMMA METHA-01	LIQUID2 GAMMA ETHAN-01	TOTAL KVL2 METHA-01	TOTAL KVL2 ETHAN-01	TOTAL BETA	VAPOR MOLEFRAC METHA-01	VAPOR MOLEFRAC ETHAN-01	LIQUID1 MOLEFRAC METHA-01	LIQUID1 MOLEFRAC ETHAN-01	LIQUID2 MOLEFRAC METHA-01	LIQUID2 MOLEFRAC ETHAN-01	LIQUID GAMMA METHA-01
bar		K															
1	0.382	344.0525	1.384549	0.7623017	1.071592	1.013617					1	0.5288975	0.4711025	0.382	0.618			1.071592
1	0.384	344.0224	1.382605	0.761493	1.071282	1.013799					1	0.5309203	0.4690797	0.384	0.616			1.071282
1	0.386	343.9923	1.380667	0.7606882	1.070972	1.013982					1	0.5329375	0.4670625	0.386	0.614			1.070972
1	0.388	343.9623	1.378734	0.7598873	1.070662	1.014167					1	0.534949	0.465051	0.388	0.612			1.070662
1	0.39	343.9324	1.376807	0.7590903	1.070352	1.014354					1	0.5369549	0.4630451	0.39	0.61			1.070352
1	0.392	343.9025	1.374886	0.7582972	1.070041	1.014543					1	0.5389553	0.4610447	0.392	0.608			1.070041
1	0.394	343.8727	1.37297	0.7575081	1.069731	1.014733					1	0.5409501	0.4590499	0.394	0.606			1.069731
1	0.396	343.8429	1.371059	0.7567228	1.069421	1.014926					1	0.5429394	0.4570606	0.396	0.604			1.069421
1	0.398	343.8133	1.369154	0.7559415	1.06911	1.01512					1	0.5449232	0.4550768	0.398	0.602			1.06911
1	0.4	343.7836	1.367254	0.755164	1.0688	1.015315					1	0.5469016	0.4530984	0.4	0.6			1.0688
1	0.402	343.7541	1.36536	0.7543904	1.068489	1.015513					1	0.5488745	0.4511255	0.402	0.598			1.068489
1	0.404	343.7246	1.363471	0.7536207	1.068178	1.015712					1	0.5508421	0.4491579	0.404	0.596			1.068178
1	0.406	343.6952	1.361587	0.7528548	1.067868	1.015913					1	0.5528042	0.4471958	0.406	0.594			1.067868
1	0.408	343.6658	1.359708	0.7520928	1.067557	1.016116					1	0.554761	0.445239	0.408	0.592			1.067557
1	0.41	343.6365	1.357835	0.7513347	1.067246	1.016321					1	0.5567125	0.4432875	0.41	0.59			1.067246
1	0.412	343.6073	1.355968	0.7505805	1.066935	1.016527					1	0.5586587	0.4413413	0.412	0.588			1.066935
1	0.414	343.5781	1.354105	0.7498301	1.066624	1.016736					1	0.5605996	0.4394004	0.414	0.586			1.066624
1	0.416	343.549	1.352248	0.7490835	1.066313	1.016946					1	0.5625352	0.4374648	0.416	0.584			1.066313
1	0.418	343.52	1.350396	0.7483408	1.066003	1.017158					1	0.5644657	0.4355343	0.418	0.582			1.066003
1	0.42	343.491	1.34855	0.7476019	1.065692	1.017372					1	0.5663909	0.4336091	0.42	0.58			1.065692
