TEMP	PRES	LIQUID FUG ACETONE	LIQUID FUG METHANOL	LIQUID FUG ETHANOL
K	bar	bar	bar	bar
324	1	0.8251126	0.5715486	0.3068464
324.08	1	0.8274216	0.5735136	0.3080117
324.16	1	0.8297356	0.5754842	0.3091807
324.24	1	0.8320547	0.5774604	0.3103534
324.32	1	0.8343788	0.5794422	0.3115299
324.4	1	0.8367079	0.5814297	0.3127101
324.48	1	0.8390421	0.5834228	0.3138941
324.56	1	0.8413814	0.5854215	0.3150819
324.64	1	0.8437257	0.5874259	0.3162734
324.72	1	0.8460751	0.589436	0.3174688
324.8	1	0.8484296	0.5914517	0.3186679
324.88	1	0.8507892	0.5934732	0.3198708
324.96	1	0.8531539	0.5955004	0.3210776
325.04	1	0.8555237	0.5975333	0.3222882
325.12	1	0.8578986	0.5995719	0.3235027
325.2	1	0.8602786	0.6016163	0.3247209
325.28	1	0.8626637	0.6036665	0.3259431
325.36	1	0.865054	0.6057224	0.3271691
325.44	1	0.8674495	0.6077842	0.328399
325.52	1	0.86985	0.6098517	0.3296328
325.6	1	0.8722557	0.611925	0.3308704
325.68	1	0.8746666	0.6140042	0.332112
325.76	1	0.8770827	0.6160892	0.3333575
325.84	1	0.8795039	0.6181801	0.3346069
325.92	1	0.8819303	0.6202768	0.3358603
326	1	0.884362	0.6223794	0.3371176
326.08	1	0.8867988	0.6244878	0.3383788
326.16	1	0.8892408	0.6266022	0.3396441
326.24	1	0.891688	0.6287225	0.3409132
326.32	1	0.8941405	0.6308487	0.3421864
326.4	1	0.8965981	0.6329809	0.3434636
326.48	1	0.899061	0.635119	0.3447448
326.56	1	0.9015292	0.6372631	0.3460299
326.64	1	0.9040026	0.6394131	0.3473192
326.72	1	0.9064812	0.6415692	0.3486124
326.8	1	0.9089651	0.6437312	0.3499097
326.88	1	0.9114543	0.6458992	0.351211
326.96	1	0.9139488	0.6480733	0.3525164
327.04	1	0.9164485	0.6502534	0.3538259
327.12	1	0.9189536	0.6524396	0.3551394
327.2	1	0.9214639	0.6546318	0.3564571
327.28	1	0.9239796	0.6568301	0.3577788
327.36	1	0.9265005	0.6590345	0.3591047
327.44	1	0.9290268	0.661245	0.3604347
327.52	1	0.9315584	0.6634616	0.3617688
327.6	1	0.9340953	0.6656844	0.363107
327.68	1	0.9366376	0.6679133	0.3644494
327.76	1	0.9391853	0.6701483	0.365796
327.84	1	0.9417382	0.6723895	0.3671467
327.92	1	0.9442966	0.6746369	0.3685016
328	1	0.9468603	0.6768905	0.3698608
328.08	1	0.9494294	0.6791503	0.3712241
328.16	1	0.9520039	0.6814163	0.3725916
328.24	1	0.9545838	0.6836885	0.3739633
328.32	1	0.9571691	0.685967	0.3753393
328.4	1	0.9597597	0.6882517	0.3767195
328.48	1	0.9623558	0.6905427	0.378104
328.56	1	0.9649574	0.69284	0.3794928
328.64	1	0.9675643	0.6951436	0.3808858
328.72	1	0.9701767	0.6974535	0.3822831
328.8	1	0.9727945	0.6997697	0.3836847
328.88	1	0.9754178	0.7020922	0.3850906
328.96	1	0.9780465	0.7044211	0.3865008
329.04	1	0.9806807	0.7067564	0.3879153
329.12	1	0.9833204	0.709098	0.3893342
329.2	1	0.9859655	0.7114461	0.3907574
329.28	1	0.9886162	0.7138005	0.3921849
329.36	1	0.9912723	0.7161613	0.3936169
329.44	1	0.9939339	0.7185286	0.3950532
329.52	1	0.996601	0.7209023	0.3964939
329.6	1	0.9992737	0.7232824	0.397939
329.68	1	1.001952	0.7256691	0.3993885
329.76	1	1.004636	0.7280622	0.4008424
329.84	1	1.007325	0.7304618	0.4023007
329.92	1	1.01002	0.7328679	0.4037635
330	1	1.01272	0.7352805	0.4052308
330.08	1	1.015426	0.7376996	0.4067025
330.16	1	1.018137	0.7401253	0.4081786
330.24	1	1.020854	0.7425576	0.4096593
330.32	1	1.023577	0.7449964	0.4111444
330.4	1	1.026305	0.7474419	0.412634
330.48	1	1.029039	0.7498939	0.4141282
330.56	1	1.031778	0.7523525	0.4156269
330.64	1	1.034523	0.7548178	0.4171301
330.72	1	1.037274	0.7572897	0.4186378
330.8	1	1.04003	0.7597682	0.4201501
330.88	1	1.042792	0.7622534	0.421667
330.96	1	1.045559	0.7647453	0.4231884
331.04	1	1.048333	0.7672439	0.4247145
331.12	1	1.051111	0.7697492	0.4262451
331.2	1	1.053896	0.7722612	0.4277803
331.28	1	1.056686	0.77478	0.4293202
331.36	1	1.059482	0.7773055	0.4308647
331.44	1	1.062283	0.7798378	0.4324138
331.52	1	1.06509	0.7823768	0.4339676
331.6	1	1.067903	0.7849226	0.435526
331.68	1	1.070722	0.7874752	0.4370891
331.76	1	1.073546	0.7900347	0.4386569
331.84	1	1.076376	0.7926009	0.4402294
331.92	1	1.079212	0.7951741	0.4418066
332	1	1.082053	0.797754	0.4433885
332.08	1	1.0849	0.8003409	0.4449751
332.16	1	1.087753	0.8029346	0.4465665
332.24	1	1.090612	0.8055352	0.4481626
332.32	1	1.093477	0.8081427	0.4497635
332.4	1	1.096347	0.8107572	0.4513691
332.48	1	1.099223	0.8133786	0.4529796
332.56	1	1.102104	0.8160069	0.4545948
332.64	1	1.104992	0.8186422	0.4562148
332.72	1	1.107885	0.8212845	0.4578396
332.8	1	1.110785	0.8239338	0.4594693
332.88	1	1.11369	0.8265901	0.4611038
332.96	1	1.1166	0.8292534	0.4627432
333.04	1	1.119517	0.8319238	0.4643874
333.12	1	1.122439	0.8346012	0.4660364
333.2	1	1.125368	0.8372856	0.4676904
333.28	1	1.128302	0.8399772	0.4693492
333.36	1	1.131242	0.8426758	0.471013
333.44	1	1.134188	0.8453815	0.4726816
333.52	1	1.137139	0.8480944	0.4743552
333.6	1	1.140097	0.8508144	0.4760337
333.68	1	1.14306	0.8535415	0.4777172
333.76	1	1.14603	0.8562758	0.4794056
333.84	1	1.149005	0.8590172	0.481099
333.92	1	1.151986	0.8617659	0.4827974
334	1	1.154973	0.8645217	0.4845008
